nr,certificate_number,registration_date,name,administrator,location,county
555,618,2011-11-28,Cabana Pietrele - Valea Stanisoarei - Saua Ciurila - Partia Rausor - Baza Salvamont Rausor,Consiliul Judetean Hunedoara,Muntii Retezat,Hunedoara
556,619,2011-11-28,Lacul Gales - Saua Zanoagele - Taurile din Valea Rea - Saua Pelegii,Consiliul Judetean Hunedoara,Muntii Retezat,Hunedoara
557,620,2011-11-28,Valea Nucsoara - Cetatea Colt,Consiliul Judetean Hunedoara,Muntii Retezat,Hunedoara
558,621,2011-11-28,Rau de Mori - Suseni - Valea Rausor - Baza Salvamont Rausor - Partia Rausor - Valea Valeresca - Saua Muncelul - Culmea Prelucele - Retezat - Varful Retezat,Consiliul Judetean Hunedoara,Muntii Retezat,Hunedoara
559,622,2011-11-28,Brazi - Cabana Gura Zlata - Lacul Gura Apei - Cabana Rotunda - Poiana Pelegii - Valea Peleaga - Saua Pelegii,Consiliul Judetean Hunedoara,Muntii Retezat,Hunedoara
560,623,2012-04-03,Baza Salvamont Vladeasa - Statie Meteo - Varful Vladeasa - Pietrele Albe - Dealul Petrieni - Baza Salvamont Vladeasa,Consiliul Local al Comunei Sacuieu,Muntii Vladeasa,Cluj
561,624,2012-04-03,Baza Salvamont Rachitele - Varful Stanciului - Ponorul din Varful Seaca - Cabana Vladeasa - Biserica Frasinenilor - Varful Cetatii - Varful Lespezi - Baza Salvamont Rachitele,Consiliul Local al Comunei Sacuieu,Muntii Vladeasa,Cluj
562,625,2012-04-03,Baza Salvamont Vladeasa - Creasta Vladeasa - Varful Plaiului - Dealul Prislopu - Varful Poiana Mica - Valea Zarnii - Lacul Floroiu - Barajul Dragan,Consiliul Local al Comunei Sacuieu,Muntii Vladeasa,Cluj
563,626,2012-04-03,Valea Rachitele - Varful Cuciulat - Valea Firii - Doda Pilii - Baza Salvamont Doda Pilii,Consiliul Local al Comunei Sacuieu,Muntii Vladeasa,Cluj
564,627,2012-04-03,Valea Draganului - Tranisu - Dealul Mincii - Piatra Banisorului - Varful Tesiturilor - Dealul Stanisoara - Baza de Salvare Vladeasa,Consiliul Local al Comunei Sacuieu,Muntii Vladeasa,Cluj
