certificate_number,column,correction
50,name,CLEANING_RULE.CONVERT_CHARS
50,name,CLEANING_RULE.CORRECT_STICKY_DASHES
50,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
50,administrator,CLEANING_RULE.CONVERT_CHARS
50,county,CLEANING_RULE.CONVERT_CHARS
51,name,CLEANING_RULE.CONVERT_CHARS
51,name,CLEANING_RULE.CORRECT_STICKY_DASHES
51,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
51,administrator,CLEANING_RULE.CONVERT_CHARS
51,county,CLEANING_RULE.CONVERT_CHARS
52,name,CLEANING_RULE.CONVERT_CHARS
52,name,CLEANING_RULE.CORRECT_STICKY_DASHES
52,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
52,name,CLEANING_RULE.EXPAND_ABBREVIATIONS
52,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
52,administrator,CLEANING_RULE.CONVERT_CHARS
52,county,CLEANING_RULE.CONVERT_CHARS
53,name,CLEANING_RULE.CONVERT_CHARS
53,name,CLEANING_RULE.CORRECT_STICKY_DASHES
53,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
53,administrator,CLEANING_RULE.CONVERT_CHARS
53,county,CLEANING_RULE.CONVERT_CHARS
54,name,CLEANING_RULE.CONVERT_CHARS
54,name,CLEANING_RULE.CORRECT_STICKY_DASHES
54,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
54,administrator,CLEANING_RULE.CONVERT_CHARS
54,county,CLEANING_RULE.CONVERT_CHARS
55,name,CLEANING_RULE.CONVERT_CHARS
55,name,CLEANING_RULE.CORRECT_STICKY_DASHES
55,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
55,administrator,CLEANING_RULE.CONVERT_CHARS
55,county,CLEANING_RULE.CONVERT_CHARS
56,name,CLEANING_RULE.CONVERT_CHARS
56,name,CLEANING_RULE.FORMAT_PARENTHESIS
56,name,CLEANING_RULE.CORRECT_STICKY_DASHES
56,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
56,administrator,CLEANING_RULE.CONVERT_CHARS
56,county,CLEANING_RULE.CONVERT_CHARS
