nr,certificate_number,registration_date,name,administrator,location,county
371,434,2009-06-01,Băile Olănești - Șaua Prislopel - Curmătura Ștogșoara - Cabana Cheia,Consiliul Județean Vâlcea,Munții Căpățânii,Vâlcea
372,435,2009-06-01,Băile Olănești - plaiul Piatra Tăiată - Șaua La Lac - Cabana Cheia,Consiliul Județean Vâlcea,Munții Căpățânii,Vâlcea
373,436,2009-06-01,Băile Olănești - Cheile Olănești - Vârful Folea,Consiliul Județean Vâlcea,Munții Căpățânii,Vâlcea
374,437,2009-06-01,Cabana Cheia - Vârful Netedu - Vârful Govora - Șaua Zmeuret,Consiliul Județean Vâlcea,Munții Căpățânii,Vâlcea
375,438,2009-06-01,Cabana Cheia - Vârful Căprăreasa - Vârful Gera -,Consiliul Județean Vâlcea,Munții Căpățânii,Vâlcea
376,439,2009-06-01,Mănastirea Bistrița - Mănastirea Arnota - Vârful Netedu - Vârful Govora - Șaua Zmeuret,Consiliul Județean Vâlcea,Munții Căpățânii,Vâlcea
377,440,2009-06-01,Stâna Roșiile - Lacul Verde - Muntele Slivei - Stâna Roșiile,Consiliul Județean Hunedoara,Munții Parâng,Hunedoara
378,441,2009-06-01,Lacul Câlcescu - Piatra Tăiată - Vârful Mohorul - Cabana Rânca,Consiliul Județean Hunedoara,Munții Parâng,Hunedoara
379,442,2009-06-01,Petroșani - Vârful Maleia - Dealul Mosic - Dealul Slătinioara - Cabana Rusu,Consiliul Județean Hunedoara,Munții Parâng,Hunedoara
380,443,2009-06-01,Cabana Obârșia Lotrului - Lac Câlcescu - Vârful Parângul Mare - Cabana Rusu,Consiliul Județean Hunedoara,Munții Parâng,Hunedoara
381,444,2009-06-01,Cabana Obârșia Lotrului - Muntele Cărbunele - Vârful Mohorul - Lacul Câlcescu,Consiliul Județean Hunedoara,Munții Parâng,Hunedoara
382,445,2009-06-01,Cabana Rânca - Muntele Urdele - Valea Iezerul - Cabana Obârșia Lotrului,Consiliul Județean Hunedoara,Munții Parâng,Hunedoara
383,446,2009-07-16,Poiana Rotunda - Șa cu Lac - Vârful Galațului - Tarnița la Cruce - Vârful Muncelul Râios - Poiana Șetref,Consiliul Județean Bistrița-Năsăud,Munții Rodnei,Bistrița-Năsăud
384,447,2009-07-16,Șaua Găgii - Lacul Lala,Consiliul Județean Bistrița-Năsăud,Munții Rodnei,Bistrița-Năsăud
