nr,certificate_number,registration_date,name,administrator,location,county,verified,source,commentary
158,158,2006-05-11,Stația CFR Bixad - Murgul Mic - Ozunca-Băi,Consiliul Județean Covasna,Masivul Baraolt,Covasna,True,158,
159,159,2006-05-11,Turia - Valea Iaidon - Canton Silvic - Dealul Burdei - Creasta Munților Bodoc,Consiliul Județean Covasna,Masivul Bodoc,Covasna,True,159,
160,160,2006-05-11,Izvorul din Valea Zsombor - Pasul Balvanyos,Consiliul Județean Covasna,Masivul Turiei,Covasna,True,160,
161,161,2006-05-11,Pasul Balvanyos - Peștera Puturosu - Tinovul Buffogo - Pasul Balvanyos,Consiliul Județean Covasna,Masivul Turiei,Covasna,True,161,use the most common name
162,162,2006-05-11,Balvanyos - Cetatea Balvanyos,Consiliul Județean Covasna,Masivul Turiei,Covasna,True,162,
163,163,2006-05-11,Balvanyos - Lacul Sfânta Ana,Consiliul Județean Covasna,Masivul Bodoc,Covasna,True,163,
164,164,2006-05-11,Lacul Sfânta Ana - Vârful Țețele,Consiliul Județean Covasna,Masivul Turiei,Covasna,True,164,
165,165,2006-05-11,Băile Balvanyos - Pârâul Balvanyos - Dealul Mijlociu - Tinovul Buffogo,Consiliul Județean Covasna,Masivul Turiei,Covasna,True,165,
166,166,2006-06-21,Sinaia - Cota 1400 - Cabana Vârful cu Dor - Cabana Valea Dorului - Șaua Laptici - Cabana Padina,Consiliul Județean Prahova,Masivul Bucegi,Prahova,True,166,
166,166,2006-06-21,Sinaia - Cota 1400 - Cabana Vârful cu Dor - Cabana Valea Dorului - Șaua Laptici - Cabana Padina,Consiliul Județean Dâmbovița,Masivul Bucegi,Prahova,True,166,
167,167,2006-06-21,Cabana Vârful cu Dor - Cota 2000 - Cabana Piatra Arsă - Cabana Babele - Cabana Vârful Omu,Consiliul Județean Prahova,Masivul Bucegi,Prahova,True,167,
168,168,2006-06-21,Cabana Vârful cu Dor - Șaua Călugărului,Consiliul Județean Prahova,Masivul Bucegi,Prahova,True,168,
169,169,2006-06-21,Cabana Vârful cu Dor - Cabana Valea Dorului - Blana - Cabana Zănoaga,Consiliul Județean Prahova,Masivul Bucegi,Prahova,True,169,
169,169,2006-06-21,Cabana Vârful cu Dor - Cabana Valea Dorului - Blana - Cabana Zănoaga,Consiliul Județean Dâmbovița,Masivul Bucegi,Prahova,True,169,
170,170,2006-06-21,Sinaia - Poiana Stanei Piciorul Pietrei Arse - Cabana Piatra Arsă - Hotelul Peștera,Consiliul Județean Prahova,Masivul Bucegi,Prahova,True,170,
170,170,2006-06-21,Sinaia - Poiana Stanei Piciorul Pietrei Arse - Cabana Piatra Arsă - Hotelul Peștera,Consiliul Județean Dâmbovița,Masivul Bucegi,Prahova,True,170,
171,171,2006-06-21,Bușteni - Cascada Urlătoarea,Consiliul Județean Prahova,Masivul Bucegi,Prahova,True,171,
172,172,2006-06-21,Poiana Țapului - Cascada Urlătoarera,Consiliul Județean Prahova,Masivul Bucegi,Prahova,True,172,
173,173,2006-06-21,Bușteni - Valea Jepilor Mari - Cantonul Jepi - Cabana Piatra Arsă,Consiliul Județean Prahova,Masivul Bucegi,Prahova,True,173,
174,174,2006-06-21,Bușteni - Căminul Alpin - Plaiul Munticelului - Poiana Coștilei - Pichetul Roșu - La Prepeleac - Cabana Mălăieşti,Consiliul Județean Prahova,Masivul Bucegi,Prahova,True,174,correct name
174,174,2006-06-21,Bușteni - Căminul Alpin - Plaiul Munticelului - Poiana Coștilei - Pichetul Roșu - La Prepeleac - Cabana Mălăieşti,Consiliul Județean Brașov,Masivul Bucegi,Prahova,True,174,correct name
175,175,2006-06-21,Bușteni - Valea Jepilor Mici - Cabana Caraiman - Cabana Babele - Hotel Peștera,Consiliul Județean Prahova,Masivul Bucegi,Prahova,True,175,
175,175,2006-06-21,Bușteni - Valea Jepilor Mici - Cabana Caraiman - Cabana Babele - Hotel Peștera,Consiliul Județean Dâmbovița,Masivul Bucegi,Prahova,True,175,
176,176,2006-06-21,Bușteni - Plaiul Fânului - Poiana Coștilei - Valea Cerbului - Cabana Vârful Omu,Consiliul Județean Prahova,Masivul Bucegi,Prahova,True,176,
177,177,2006-06-21,Bușteni - Cabana Gura Diham - Cabana Poiana Izvoarelor - Pichetul Roșu - La Prepeleac - Creasta Bucșoiul Mare - Cabana Vârful Omu,Consiliul Județean Prahova,Masivul Bucegi,Prahova,True,177,
178,178,2006-06-21,Bușteni - Cabana Gura Diham - Șaua Baiului - Cabana Diham,Consiliul Județean Prahova,Masivul Bucegi,Prahova,True,178,
179,179,2006-06-21,Cabana Caraiman - Monumentul Eroilor,Consiliul Județean Prahova,Masivul Bucegi,Prahova,True,179,
180,180,2006-06-21,Cabana Babele - Vârful Caraiman - Monumentul Eroilor - Spinarea Coștilei - Șaua Șugarilor,Consiliul Județean Prahova,Masivul Bucegi,Prahova,True,180,
181,181,2006-06-21,Cabana Vârful Omu - Cascada Obarşia Ialomiței - Hotel Peștera,Consiliul Județean Prahova,Masivul Bucegi,Prahova,True,181,specify feature type
181,181,2006-06-21,Cabana Vârful Omu - Cascada Obarşia Ialomiței - Hotel Peștera,Consiliul Județean Dâmbovița,Masivul Bucegi,Prahova,True,181,specify feature type
182,182,2006-06-21,Cabana Vârful Omu - Muntele Doamnele - Șaua Strunga - Cabana Padina,Consiliul Județean Prahova,Masivul Bucegi,Prahova,True,182,
182,182,2006-06-21,Cabana Vârful Omu - Muntele Doamnele - Șaua Strunga - Cabana Padina,Consiliul Județean Dâmbovița,Masivul Bucegi,Prahova,True,182,
183,183,2006-06-21,Șaua Baiului - Vârful Leuca Mică - Valea Grecului - Azuga,Consiliul Județean Prahova,Masivul Bucegi,Prahova,True,183,
184,184,2006-12-06,Arefu - Clăbucet - Muntele Marginea - Florea - Vârful Podeanu - Căldarea Berbecilor - Vârful Negoiu,Consiliul Județean Argeș,Masivul Făgăraș,Argeș,True,184,be specific|correct name
185,185,2006-12-06,Cumpăna - Clăbucet - Muntele Marginea - Izvorul Negoiu - Vârful Negoiu,Consiliul Județean Argeș,Masivul Făgăraș,Argeș,True,185,be specific
186,186,2006-12-06,Piscu Negru - Șaua Podeanu,Consiliul Județean Argeș,Masivul Făgăraș,Argeș,True,186,
187,187,2006-12-06,Piscu Negru - Refugiul Calțun,Consiliul Județean Argeș,Masivul Făgăraș,Argeș,True,187,
188,188,2006-12-06,Piscu Negru - Șaua Paltin,Consiliul Județean Argeș,Masivul Făgăraș,Argeș,True,188,
189,189,2006-12-06,Gura Tunel - Refugiul Călțun,Consiliul Județean Argeș,Masivul Făgăraș,Argeș,True,189,
190,190,2006-12-06,Cabana Capra - Lacul Capra,Consiliul Județean Argeș,Masivul Făgăraș,Argeș,True,190,
191,191,2006-12-06,Salvamont Cota 2000 - Lacul Capra,Consiliul Județean Argeș,Masivul Făgăraș,Argeș,True,191,be specific
192,192,2006-12-06,Cabana Capra - Fereastra Zmeilor,Consiliul Județean Argeș,Masivul Făgăraș,Argeș,True,192,
193,193,2006-12-06,Piscul Negru - Vârful Piscul Negru - Valea Buda,Consiliul Județean Argeș,Masivul Făgăraș,Argeș,True,193,
194,194,2006-12-06,Valea Buda - Poiana Mircea - Șaua Podraru,Consiliul Județean Argeș,Masivul Făgăraș,Argeș,True,194,
195,195,2006-12-06,Izvorul Orzanelei - Șaua Orzanelei,Consiliul Județean Argeș,Masivul Făgăraș,Argeș,True,195,
196,196,2006-12-06,Izvorul Moldoveanu - Curmătura Moldoveanu,Consiliul Județean Argeș,Masivul Făgăraș,Argeș,True,196,
197,197,2006-12-06,Valea Vâlsanului - Vârful Ţuica - Vârful Picuiata - Vârful Roșu - Vârful Moldoveanu,Consiliul Județean Argeș,Masivul Făgăraș,Argeș,True,197,specify feature type
198,198,2006-12-06,Curmătura Malita - Muntele Scărișoara - Vârful Moldoveanu,Consiliul Județean Argeș,Masivul Făgăraș,Argeș,True,198,
199,199,2006-12-06,Balta Pojarnei - Poiana Furfuescu,Consiliul Județean Argeș,Masivul Făgăraș,Argeș,True,199,
200,200,2006-12-06,Gura Văilor - Valea Rea,Consiliul Județean Argeș,Masivul Făgăraș,Argeș,True,200,
201,201,2006-12-06,Curmătura Brătilei - Curmătura Oticu - Vârful Roșu,Consiliul Județean Argeș,Masivul Făgăraș,Argeș,True,201,
202,202,2006-12-06,Traseul de Creastă - Făgăraș - Conexiune Piatra Craiului,Consiliul Județean Argeș,Masivul Făgăraș,Argeș,True,202,
203,203,2006-12-06,Podul Dâmboviței - Pietricica - Creasta Sudica - Vârful La Om,Consiliul Județean Argeș,Masivul Piatra Craiului,Argeș,True,203,
204,204,2006-12-06,Dâmbovicioara - Cabana Brusturet - Piscul Păduricii - Refugiul Grind,Consiliul Județean Argeș,Masivul Piatra Craiului,Argeș,True,204,specify feature type
205,205,2006-12-06,Dâmbovicioara - Ciocanul - Poiana Grind - La Table,Consiliul Județean Argeș,Masivul Piatra Craiului,Argeș,True,205,specify feature type
206,206,2006-12-06,Cabana Brusturet - Valea Seacă - Poiana Grind - La Table,Consiliul Județean Argeș,Masivul Piatra Craiului,Argeș,True,206,specify feature type
207,207,2006-12-06,Cabana Brusturet - Cabana Pietricica - Poiana Pietricica,Consiliul Județean Argeș,Masivul Piatra Craiului,Argeș,True,207,specify feature type
208,208,2006-12-06,Cabana Brusturet - Ciocanul,Consiliul Județean Argeș,Masivul Piatra Craiului,Argeș,True,208,specify feature type
209,209,2006-12-06,La Table - Șaua Funduri - Marele Grohotiș - Tămășel - Curmătura Foii,Consiliul Județean Argeș,Masivul Piatra Craiului,Argeș,True,209,
210,210,2006-12-06,Valea Dâmboviței - Valea lui Ivan - Tămășel - Curmătura Foii,Consiliul Județean Argeș,Masivul Piatra Craiului,Argeș,True,210,
211,211,2006-12-06,Valea Dâmboviței - Tamaș - Curmătura Foii,Consiliul Județean Argeș,Masivul Piatra Craiului,Argeș,True,211,
212,212,2006-12-06,Valea Dâmboviței - Valea Cascoe - Curmătura Foii,Consiliul Județean Argeș,Masivul Piatra Craiului,Argeș,True,212,
213,213,2006-12-06,Crucea Grănicerului - La Prepeleac,Consiliul Județean Argeș,Masivul Piatra Craiului,Argeș,True,213,
214,214,2006-12-06,Piscul cu Brazi - Marele Grohotiș,Consiliul Județean Argeș,Masivul Piatra Craiului,Argeș,True,214,unclear as multiple features are names as Piscul cu Brazi
215,215,2006-12-06,Cabana Garofița - Ceardacul Stanciului,Consiliul Județean Argeș,Masivul Piatra Craiului,Argeș,True,215,
216,216,2006-12-06,Cabana Garofița - Tămășel,Consiliul Județean Argeș,Masivul Piatra Craiului,Argeș,True,216,
217,217,2006-12-06,Vârful La Om - Refugiul Grind - Curmătura Groapelor - Fundata,Consiliul Județean Argeș,Masivul Piatra Craiului,Argeș,True,217,
218,218,2006-12-06,Curmătura Groapelor - La Table,Consiliul Județean Argeș,Masivul Piatra Craiului,Argeș,True,218,
219,219,2006-12-11,Halta CFR Valea Mărului - Vârful Chica Pietrilor - Șaua Surului - Șaua Scării - Șaua Cleopatrei - Vârful Negoiu - Șaua Paltinu - Șaua Caprei - Portița Arpașului - Vârful Arpașu Mare - Fereastra Podragului,Consiliul Județean Sibiu,Masivul Făgăraș,Sibiu,True,219,
220,220,2006-12-11,Vârful Șerbota - Căldarea Pietroasă a Negoiului - Șaua Cleopatrei,Consiliul Județean Sibiu,Masivul Făgăraș,Sibiu,True,220,
221,221,2006-12-11,Strunga Dracului - Ocolirea Vârful Dracului - Strunga Doamnei - Bifurcația de sub Strunga Doamnei,Consiliul Județean Sibiu,Masivul Făgăraș,Sibiu,True,221,
222,222,2006-12-11,Portița Arpașului - Căldarea Pietroasă a Arpașului - Portița Frunții - Sub Vârful Arpașu Mic,Consiliul Județean Sibiu,Masivul Făgăraș,Sibiu,True,222,
223,223,2006-12-11,Stația CFR Turnu Roși - Șipotu Frasinului - Culmea Petriceaua - Dealul Pleșii - Chica Pietrilor,Consiliul Județean Sibiu,Masivul Făgăraș,Sibiu,True,223,
224,224,2006-12-11,Sebeșu de Sus (Podul Moașei) - Valea Moașei Sebeșului - Cascadele Sebeșului - Cabana Suru,Consiliul Județean Sibiu,Masivul Făgăraș,Sibiu,True,224,
225,225,2006-12-11,Stația CFR Sebeșu Olt - Sebeșu de Sus - Culmea Moașei - Refugiul Suru - Fruntea Moașei - Căldarea Surului - Șaua Suru,Consiliul Județean Sibiu,Masivul Făgăraș,Sibiu,True,225,
226,226,2006-12-11,Bifurcația de la Podul Jibrii - Valea Moașa Avrigului - Izvorul Florii - Culmea Moașei - Refugiul Suru - Fruntea Moașei - Șaua Apa Cumpănită,Consiliul Județean Sibiu,Masivul Făgăraș,Sibiu,True,226,
227,227,2006-12-11,Stația CFR Avrig - Valea Mare a Avrigului - Cabana Poiana Neamțului - Cabana Bărcaciu - Sub Vârful Scara,Consiliul Județean Sibiu,Masivul Făgăraș,Sibiu,True,227,
228,228,2006-12-11,Cabana Bărcaciu - Căldarea Văii Mari a Avrigului - Lacul Avrig,Consiliul Județean Sibiu,Masivul Făgăraș,Sibiu,True,228,
229,229,2006-12-11,Cabana Negoiu - Valea Șerbota - Valea Porumbăcelului - Cabana Bărcaciu,Consiliul Județean Sibiu,Masivul Făgăraș,Sibiu,True,229,
230,230,2006-12-11,Stația CFR Porumbacu de Jos - Porumbacu de Sus - Valea Mare a Porumbacului - Cabana Negoiu - Căldarea Sărății - Șaua Cleopatrei,Consiliul Județean Sibiu,Masivul Făgăraș,Sibiu,True,230,
231,231,2006-12-11,Cabana Negoiu - Valea Șerbota - Căldarea Puha - Șaua Puha - Șaua Scara,Consiliul Județean Sibiu,Masivul Făgăraș,Sibiu,True,231,
232,232,2006-12-11,Cabana Negoiu - Muchia Șerbota - Vârful Șerbota,Consiliul Județean Sibiu,Masivul Făgăraș,Sibiu,True,232,
233,233,2006-12-11,Piatra Prânzului - Strunga Ciobanului - Bifurcația de sub strungi din Căldarea Laita,Consiliul Județean Sibiu,Masivul Făgăraș,Sibiu,True,233,
234,234,2006-12-11,Bâlea Cascada - Muchia Bâlii - Valea Doamnei - Șaua Bâlii - Bălea Lac,Consiliul Județean Sibiu,Masivul Făgăraș,Sibiu,True,234,
235,235,2006-12-11,Cârțișoara - Bâlea Cascada - Valea Bâlii - Lacul Bâlea - Șaua Caprei - Vârful Vânătoarea lui Buteanu,Consiliul Județean Sibiu,Masivul Făgăraș,Sibiu,True,235,
236,236,2006-12-11,Bâlea Cascada - Izvorul Dracului - Muchia Buteanu - Vârful Netedu - Căldarea Văiuga - Lacul Bâlea - Șaua Paltinu,Consiliul Județean Sibiu,Masivul Făgăraș,Sibiu,True,236,
237,237,2006-12-11,Bifurcația din Șaua Văiuga - Bifurcația din Căldarea Văiuga,Consiliul Județean Sibiu,Masivul Făgăraș,Sibiu,True,237,
238,238,2006-12-11,Portița Arpașului - Căldarea Arpașului - Muchia Podrăgel - Lacul Podrăgel - Cabana Podragu,Consiliul Județean Sibiu,Masivul Făgăraș,Sibiu,True,238,
239,239,2006-12-11,Bifurcația Valea Arpașului - Valea Podrăgel - Lacul Podrăgel,Consiliul Județean Sibiu,Masivul Făgăraș,Sibiu,True,239,
240,240,2006-12-11,Stația CFR Ucea - Victoria - Valea Arpașului - Valea Podragului - Cabana Turnuri - Cabana Podragu - Fereastra Podragului,Consiliul Județean Sibiu,Masivul Făgăraș,Sibiu,True,240,
241,241,2006-12-11,Victoria - Poiana Boldanu - Muchia Tărâța - Lacul Podragu - Cabana Podragu,Consiliul Județean Sibiu,Masivul Făgăraș,Sibiu,True,241,
242,242,2006-12-11,Cisnădie - Vârful Măgura - Vârful Ghiham - Poiana Tomnatec - Grădina Oncești - Cantonul Silvic Muncel - Șaua Bătrâna - Vârful Rozdești - Șaua Șerbănei - Vârful Niculești - Șaua Cânaia - Vârful Cindrel - Vârful Frumoasa - Vârful Șerbota Mare - Vârful Oașa Mare - Cabana Oașa,Consiliul Județean Sibiu,Masivul Cindrel,Sibiu,True,242,
243,243,2006-12-11,Rășinari - Șaua Apa Cumpănită,Consiliul Județean Sibiu,Masivul Cindrel,Sibiu,True,243,
244,244,2006-12-11,Jina - Dealul Captanul Mic - Dealul Guga Mică - La Pripoane - Cantonul Silvic Duși - Poiana Rudarilor - Vârful Foltea - Vârful Frumoasa - Vârful Cindrel,Consiliul Județean Sibiu,Masivul Cindrel,Sibiu,True,244,
245,245,2006-12-11,Halta CFR Sibiel - Fântânele - Cabana Fântânele - La Pripoane,Consiliul Județean Sibiu,Masivul Cindrel,Sibiu,True,245,
246,246,2006-12-11,Sibiel - Valea Cetății - Vârful Cetatea (La zid) - Cabana Fântânele,Consiliul Județean Sibiu,Masivul Cindrel,Sibiu,True,246,
247,247,2006-12-11,Sibiel - Valea Cetății - Dealul Cetății - Cabana Fântânele,Consiliul Județean Sibiu,Masivul Cindrel,Sibiu,True,247,
248,248,2006-12-11,Sibiel - Valea Sibiel - La Mânăstire - Valea Sibielaș - Cabana Fântânele,Consiliul Județean Sibiu,Masivul Cindrel,Sibiu,True,248,
249,249,2006-12-11,Cabana Fântânele - Dealul Runcuri - La Pisc - Cheile Cibinului - Calea Studenților - Păltiniș,Consiliul Județean Sibiu,Masivul Cindrel,Sibiu,True,249,
250,250,2006-12-11,Cabana Fântânele - Piscul Vulturului - Râul Mic - Cantonul Silvic Strâmba - Măgura - Râul Mare - Cantonul Silvic Niculești - Valea Niculești - Șaua Șerbănei,Consiliul Județean Sibiu,Masivul Cindrel,Sibiu,True,250,expand parenthesis
251,251,2006-12-11,Păltiniș - Poiana Găujoara - Cantonul Silvic Muncel - Grădina Oncești - Stația Telescaun - Stațiunea Păltiniș,Consiliul Județean Sibiu,Masivul Cindrel,Sibiu,True,251,
252,252,2006-12-11,Păltiniș - Poiana Găujoara - Șaua Bătrâna,Consiliul Județean Sibiu,Masivul Cindrel,Sibiu,True,252,
253,253,2006-12-11,Stațiunea Păltiniș - Cantonul Silvic Muncel - Poiana Bătrână - La Pahar - Baraj Gâtu Berbecului,Consiliul Județean Sibiu,Masivul Cindrel,Sibiu,True,253,
254,254,2006-12-11,Șanta - Poiana Lupilor - Vârful Oncești - Stație Telescaun Păltiniș,Consiliul Județean Sibiu,Masivul Cindrel,Sibiu,True,254,
255,255,2006-12-11,"Șaua Serbănei - Refugiul Cânaia - Sub Vârful Cindrel, Amonte de Șaua Șteflești",Consiliul Județean Sibiu,Masivul Cindrel,Sibiu,True,255,
256,256,2006-12-11,Cantonul Silvic Niculești - Cabana Z - Râul Mare - Șaua Cânaia - Valea Sadului (Cantonul Silvic Șerbănei),Consiliul Județean Sibiu,Masivul Cindrel,Sibiu,True,256,
257,257,2006-12-11,Vârful Cindrel - Bifurcație spre Refugiul Cânaia - Șaua Șteflești,Consiliul Județean Sibiu,Masivul Cindrel,Sibiu,True,257,
258,258,2006-12-11,Cisnădie - Vârful Măgura - Poiana Cărbunări - Valea Sadului,Consiliul Județean Sibiu,Masivul Cindrel,Sibiu,True,258,
259,259,2006-12-11,Cisnădioara - Vârful Măgura - Poiana Trandafirilor (Rosengarden) - Prislop - Rășinari,Consiliul Județean Sibiu,Masivul Cindrel,Sibiu,True,259,
260,260,2006-12-11,Cisnădioara - Valea Argintului - Poiana Trandafirilor (Rosengarden),Consiliul Județean Sibiu,Masivul Cindrel,Sibiu,True,260,
261,261,2006-12-11,Ciupari (Râu Sadului) - Șaua Târnova - Poiana Trandafirilor (Rosengarden) - Coada Lacului Sadului II,Consiliul Județean Sibiu,Masivul Cindrel,Sibiu,True,261,
262,262,2006-12-11,Valea Tocile - Poiana Mărului - Vârful Măgura,Consiliul Județean Sibiu,Masivul Cindrel,Sibiu,True,262,
263,263,2006-12-11,Vârful Mare - Vârful Sterpu - Vârful Voineagul - Cătănești - Șaua Buceciu - Vârful Negovanu Mare - Sub Vârful Balindru - Vârful Șteflești - Piatra Albă - Șaua Tărtărău,Consiliul Județean Sibiu,Masivul Lotru,Sibiu,True,263,
264,264,2006-12-11,Tălmăcel - Muchia Ștefănița - Sub Vârful Pleșița - Sub Vârful Muma - La Cruce - Cabana Prejba - Vârful Bran - Izvorul Cerbului - Șaua Buceciu,Consiliul Județean Sibiu,Masivul Lotru,Sibiu,True,264,
265,265,2006-12-11,Valea Sadului (Masa Verde) - Valea Juvărțel - Poiana Muma - La Cruce - Cabana Prejba,Consiliul Județean Sibiu,Masivul Lotru,Sibiu,True,265,
266,266,2006-12-11,Cabana Valea Sadului - Muchia Vărețelor - Vârful Prejba - Cabana Prejba,Consiliul Județean Sibiu,Masivul Lotru,Sibiu,True,266,
267,267,2006-12-11,Valea Sadului (Cantonul Silvic Rozdești) - Casele Negovanu - Vârful Negovanu Mare,Consiliul Județean Sibiu,Masivul Lotru,Sibiu,True,267,
268,268,2006-12-11,Șaua Șteflești - Șaua dintre Vârful Cristești și Vârful Piatra Albă,Consiliul Județean Sibiu,Masivul Lotru,Sibiu,True,268,
269,269,2006-12-11,Lazaret - Valea Lotrioara - Pârâul Cailor - Poiana Iaru - Cabana Prejba,Consiliul Județean Sibiu,Masivul Lotru,Sibiu,True,269,
270,270,2006-12-11,Lazaret - Lotrioara - Cantonul Silvic Gârcu - Valea Sterpului - Vârful Sterpului,Consiliul Județean Sibiu,Masivul Lotru,Sibiu,True,270,
271,271,2006-12-11,Câmpulung Moldovenesc - Cabana Rarău,Consiliul Județean Suceava,Masivul Rarău,Suceava,True,271,
272,272,2006-12-11,Câmpulung Moldovenesc - Vârful Bodea - Poiana Sihăstriei,Consiliul Județean Suceava,Masivul Rarău,Suceava,True,272,
273,273,2006-12-11,Câmpulung Moldovenesc - Pârâul Mesteacăn - Munceii Rarăului - Cabana Rarău,Consiliul Județean Suceava,Masivul Rarău,Suceava,True,273,
274,274,2006-12-11,Câmpulung Moldovenesc - Izvorul Alb - Valea Limpedea - Șaua Ciobanilor,Consiliul Județean Suceava,Masivul Rarău,Suceava,True,274,
275,275,2006-12-11,Câmpulung Moldovenesc - Pârâul Valea Caselor - Pârâul Moara Dracului - Șaua Ciobanilor,Consiliul Județean Suceava,Masivul Rarău,Suceava,True,275,
276,276,2006-12-11,Satul Slătioara - Codrul Secular Slătioara - Vârful Todirescu,Consiliul Județean Suceava,Masivul Rarău,Suceava,True,276,
277,278,2006-12-11,Pojorîta - Valea Izvorul Giumalău - Șaua Colbului,Consiliul Județean Suceava,Masivul Rarău,Suceava,True,278,
278,279,2006-12-11,Satul Valea Putnei - Poiana Sapele - Vârful Alunu - Vârful Giumalau - Cabana Zugreni,Consiliul Județean Suceava,Masivul Giumalău,Suceava,True,279,
279,280,2006-12-11,Curmătura Prislop - Poiana Todirescu - Popii Rarăului - Cabana Rarău - Vârful Giumalău - Poiana Ticseni - Cabana Mestecăniș,Consiliul Județean Suceava,Masivul Giumalău,Suceava,True,280,
280,281,2006-12-11,Cabana Giumalău - Polița Caprelor,Consiliul Județean Suceava,Masivul Giumalău,Suceava,True,281,
281,282,2006-12-11,Chiril - Cabana Rarău,Consiliul Județean Suceava,Masivul Rarău,Suceava,True,282,
282,283,2006-12-11,Vatra Dornei - Obcina Mare - Obcina Mică - Poiana Ticseni,Consiliul Județean Suceava,Masivul Giumalău,Suceava,True,283,
283,284,2006-12-11,"Traseul Circuit Rezervația ""Pietrele Doamnei"" - Masivul Rarău",Consiliul Județean Suceava,Masivul Rarău,Suceava,True,284,
284,285,2007-03-13,Vatra Dornei - Dealul Drăncani - Obcina Mică - Poiana Ciungi - Cabana Giumalău - Vârful Giumalău,Consiliul Local al Orașului Vatra Dornei,Masivul Giumalău,Suceava,True,285,
285,286,2007-03-13,Vatra Dornei - Vârful Bârnăbel - Obcina Mică - Poiana Fierului - Pasul Mestecăniș,Consiliul Local al Orașului Vatra Dornei,Masivul Giumalău,Suceava,True,286,specify feature type
286,289,2007-03-13,Zugreni - Pârâul Colbu - Piciorul Țepușelor - Cabana Giumalău - Vârful Giumalău,Consiliul Local al Orașului Vatra Dornei,Masivul Giumalău,Suceava,True,289,
287,294,2007-03-13,Dorna Candreni - Șesu Muntelui - Pârâul Haju,Consiliul Local al Orașului Vatra Dornei,Munții Suhard,Suceava,True,294,
288,296,2007-03-13,Vatra Dornei - Poiana Spânzului - Poiana Snopului - Poiana Apa Rece - Comuna Șarul Dornei,Consiliul Local al Orașului Vatra Dornei,Munții Căliman,Suceava,True,296,
289,352,2008-04-15,Stâna de Vale - Vârful Cucurbăta Mare (Bihorul),Consiliul Județean Bihor,Munții Bihor - Vlădeasa,Bihor,True,352,
290,353,2008-04-15,Pietroasa - Șaua Bohodei - Valea Aleului,Consiliul Județean Bihor,Munții Bihor - Vlădeasa,Bihor,True,353,
291,354,2008-04-15,Satul de Vacanță Boga - Șaua Bohodei,Consiliul Județean Bihor,Munții Bihor - Vlădeasa,Bihor,True,354,
292,355,2008-04-15,"Camping ""La Grajduri"" - Casa de Piatră",Consiliul Județean Bihor,Munții Bihor - Vlădeasa,Bihor,True,355,
293,356,2008-04-15,Pietroasa - Arieșeni,Consiliul Județean Bihor,Munții Bihor - Vlădeasa,Bihor,True,356,
294,357,2008-04-15,Șaua Vârtop - Ștei,Consiliul Județean Bihor,Munții Bihor - Vlădeasa,Bihor,True,357,
295,358,2008-04-15,Câmpani - DN 75 km 25 +100,Consiliul Județean Bihor,Munții Bihor - Vlădeasa,Bihor,True,358,
296,359,2008-04-15,Circuitul Peșterii Urșilor,Consiliul Județean Bihor,Munții Bihor - Vlădeasa,Bihor,True,359,
297,360,2008-04-15,Cabana Vlădeasa - Gârda de Sus,Consiliul Județean Bihor,Munții Bihor - Vlădeasa,Bihor,True,360,
298,361,2008-04-15,Piatra Grăitoare - Camping Runcu Ars (Ponor),Consiliul Județean Bihor,Munții Bihor - Vlădeasa,Bihor,True,361,
299,362,2008-04-15,Circuitul Izvoarelor Someșului Cald,Consiliul Județean Bihor,Munții Bihor - Vlădeasa,Bihor,True,362,
300,363,2008-04-15,Cantonul Forestier Padiș - Cabana Vărășoaia,Consiliul Județean Bihor,Munții Bihor - Vlădeasa,Bihor,True,363,
301,364,2008-04-15,Circuit Măgura Vânătă,Consiliul Județean Bihor,Munții Bihor - Vlădeasa,Bihor,True,364,
302,365,2008-04-15,Sat Pietroasa - Cabana Padiș,Consiliul Județean Bihor,Munții Bihor - Vlădeasa,Bihor,True,365,
303,366,2008-04-15,Circuitul Gropii de la Barsa,Consiliul Județean Bihor,Munții Bihor - Vlădeasa,Bihor,True,366,
304,367,2008-04-15,Circuitul Cetăților Ponorului,Consiliul Județean Bihor,Munții Bihor - Vlădeasa,Bihor,True,367,
305,368,2008-04-15,Circuitul Galbenei,Consiliul Județean Bihor,Munții Bihor - Vlădeasa,Bihor,True,368,
306,369,2008-04-15,Cabana Padiș - Poiana Căput,Consiliul Județean Bihor,Munții Bihor - Vlădeasa,Bihor,True,369,
307,370,2008-04-15,Cabana Padiș - Avenul Negru - Avenul Acoperit - Avenul Pionierilor,Consiliul Județean Bihor,Munții Bihor - Vlădeasa,Bihor,True,370,
308,371,2008-04-15,Cabana Padiș - Ghețarul Scărișoara,Consiliul Județean Bihor,Munții Bihor - Vlădeasa,Bihor,True,371,
309,372,2008-06-30,Cantonul Silvic Mate Pal - Vârful Lăcăuți,Consiliul Județean Covasna,Munții Brețcului,Covasna,True,372,add dash and specify feature type
310,373,2008-06-30,Olyves - Vârful Lăcăuți,Consiliul Județean Covasna,Munții Brețcului,Covasna,True,373,
311,374,2008-06-30,Comandău - Creasta Munții Brețcului,Consiliul Județean Covasna,Munții Brețcului,Covasna,True,374,
312,375,2008-06-30,Creasta Munții Brețcului,Consiliul Județean Covasna,Munții Brețcului,Covasna,True,375,
313,376,2008-06-30,Zăbala - Vârful Lăcăuți,Consiliul Județean Covasna,Munții Brețcului,Covasna,True,376,
